Benchmark Summary Report
======================
Generated on: 2025-03-28 16:42:37

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
----------|--------|------------|---------|----------|--------------|----------|--------------|------------|-----------
1TB       | 100    | Header     | Yes     | 16       | 98311.21     | 2.00     | 6595         | 7686.62    | 19.13     
1TB       | 100    | Uniform    | Yes     | 16       | 151377.28    | 1.21     | 73763        | 4958.92    | 232.61    
1TB       | 100    | Header     | Yes     | 1        | 6405.9       | 2.00     | 855          | 462.95     | 1.20      
1TB       | 100    | Uniform    | Yes     | 1        | 10276.63     | 1.21     | 3958         | 287.06     | 14.54     
1TB       | 100    | Header     | Yes     | 2        | 12594.54     | 2.00     | 1514         | 940.32     | 2.39      
1TB       | 100    | Uniform    | Yes     | 2        | 20045.29     | 1.21     | 5583         | 584.88     | 29.08     
1TB       | 100    | Header     | Yes     | 4        | 25024.6      | 2.00     | 1974         | 1889.26    | 4.78      
1TB       | 100    | Uniform    | Yes     | 4        | 39877.25     | 1.21     | 9481         | 1175.88    | 58.15     
1TB       | 100    | Header     | Yes     | 8        | 49677.91     | 2.00     | 3162         | 3802.76    | 9.57      
1TB       | 100    | Uniform    | Yes     | 8        | 78422.02     | 1.21     | 24035        | 2391.98    | 116.31    
1TB       | 100    | Header     | No      | 16       | 179685.43    | 2.00     | 4117         | 4139.32    | 19.13     
1TB       | 100    | Uniform    | No      | 16       | 159244.31    | 1.21     | 14625        | 4748.75    | 232.62    
1TB       | 100    | Header     | No      | 1        | 6982.17      | 2.00     | 352          | 427.10     | 1.20      
1TB       | 100    | Uniform    | No      | 1        | 12887.47     | 1.21     | 226          | 229.35     | 14.54     
1TB       | 100    | Header     | No      | 2        | 17940.0      | 2.00     | 741          | 666.01     | 2.39      
1TB       | 100    | Uniform    | No      | 2        | 20664.4      | 1.21     | 871          | 485.47     | 29.08     
1TB       | 100    | Header     | No      | 4        | 45946.67     | 2.00     | 1066         | 1043.63    | 4.78      
1TB       | 100    | Uniform    | No      | 4        | 42425.13     | 1.21     | 2287         | 1060.87    | 58.16     
1TB       | 100    | Header     | No      | 8        | 94626.43     | 2.00     | 2537         | 1991.86    | 9.57      
1TB       | 100    | Uniform    | No      | 8        | 85194.82     | 1.21     | 6065         | 2204.55    | 116.31    
1TB       | 1600   | Header     | Yes     | 16       | 98173.8      | 2.00     | 6948         | 7695.32    | 19.13     
1TB       | 1600   | Uniform    | Yes     | 16       | 98960.09     | 1.00     | 430234       | 7651.47    | 2949.09   
