Benchmark Summary Report
======================
Generated on: 2025-03-28 16:42:37

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
1TB       | 1600   | Header     | Yes     | 1        | 6410.92      | 2.00     | 980          | 462.84     | 1.20      
1TB       | 1600   | Uniform    | Yes     | 1        | 10117.28     | 1.00     | 18908        | 291.92     | 184.32    
1TB       | 1600   | Header     | Yes     | 2        | 12609.66     | 2.00     | 1314         | 939.46     | 2.39      
1TB       | 1600   | Uniform    | Yes     | 2        | 19431.38     | 1.00     | 44873        | 605.45     | 368.64    
1TB       | 1600   | Header     | Yes     | 4        | 25038.44     | 2.00     | 1527         | 1888.17    | 4.78      
1TB       | 1600   | Uniform    | Yes     | 4        | 36609.06     | 1.00     | 74504        | 1285.62    | 737.26    
1TB       | 1600   | Header     | Yes     | 8        | 49685.98     | 2.00     | 3300         | 3801.95    | 9.57      
1TB       | 1600   | Uniform    | Yes     | 8        | 64575.82     | 1.00     | 203697       | 2921.02    | 1474.55   
1TB       | 1600   | Header     | No      | 16       | 139962.43    | 2.00     | 3278         | 5388.86    | 19.13     
1TB       | 1600   | Uniform    | No      | 16       | 49197.24     | 1.00     | 13066        | 15485.50   | 2949.14   
1TB       | 1600   | Header     | No      | 1        | 6977.86      | 2.00     | 415          | 427.78     | 1.20      
1TB       | 1600   | Uniform    | No      | 1        | 8736.94      | 1.00     | 2008         | 340.19     | 184.34    
1TB       | 1600   | Header     | No      | 2        | 15757.51     | 2.00     | 476          | 755.97     | 2.39      
1TB       | 1600   | Uniform    | No      | 2        | 16522.76     | 1.00     | 3097         | 713.03     | 368.68    
1TB       | 1600   | Header     | No      | 4        | 30529.13     | 2.00     | 788          | 1520.74    | 4.78      
1TB       | 1600   | Uniform    | No      | 4        | 30171.3      | 1.00     | 5576         | 1567.69    | 737.24    
1TB       | 1600   | Header     | No      | 8        | 62112.06     | 2.00     | 1576         | 2987.54    | 9.57      
1TB       | 1600   | Uniform    | No      | 8        | 49168.1      | 1.00     | 8090         | 3858.19    | 1474.53   
1TB       | 200    | Header     | Yes     | 16       | 98174.75     | 2.00     | 6561         | 7691.62    | 19.14     
1TB       | 200    | Uniform    | Yes     | 16       | 168687.85    | 1.02     | 128303       | 4448.92    | 390.47    
1TB       | 200    | Header     | Yes     | 1        | 6406.14      | 2.00     | 834          | 462.82     | 1.20      
1TB       | 200    | Uniform    | Yes     | 1        | 11908.54     | 1.02     | 5831         | 247.29     | 24.40     
1TB       | 200    | Header     | Yes     | 2        | 12614.41     | 2.00     | 1157         | 938.76     | 2.39      
1TB       | 200    | Uniform    | Yes     | 2        | 23295.67     | 1.02     | 20208        | 503.12     | 48.81     
1TB       | 200    | Header     | Yes     | 4        | 25111.33     | 2.00     | 1986         | 1886.76    | 4.78      
1TB       | 200    | Uniform    | Yes     | 4        | 45802.14     | 1.02     | 35872        | 1022.70    | 97.62     
1TB       | 200    | Header     | Yes     | 8        | 49721.8      | 2.00     | 3184         | 3801.60    | 9.57      
1TB       | 200    | Uniform    | Yes     | 8        | 89104.38     | 1.02     | 69845        | 2103.93    | 195.24    
1TB       | 200    | Header     | No      | 16       | 172089.01    | 2.00     | 3231         | 4372.83    | 19.13     
1TB       | 200    | Uniform    | No      | 16       | 160142.48    | 1.02     | 15752        | 4728.72    | 390.47    
1TB       | 200    | Header     | No      | 1        | 10706.29     | 2.00     | 350          | 277.84     | 1.20      
1TB       | 200    | Uniform    | No      | 1        | 12474.08     | 1.02     | 1341         | 237.38     | 24.40     
1TB       | 200    | Header     | No      | 2        | 22424.23     | 2.00     | 521          | 526.59     | 2.39      
1TB       | 200    | Uniform    | No      | 2        | 24181.05     | 1.02     | 3416         | 486.13     | 48.81     
1TB       | 200    | Header     | No      | 4        | 45118.4      | 2.00     | 1111         | 1054.30    | 4.78      
1TB       | 200    | Uniform    | No      | 4        | 46979.93     | 1.02     | 6077         | 1000.63    | 97.62     
1TB       | 200    | Header     | No      | 8        | 91180.79     | 2.00     | 2180         | 2049.05    | 9.57      
1TB       | 200    | Uniform    | No      | 8        | 90029.15     | 1.02     | 9244         | 2096.63    | 195.24    
1TB       | 3200   | Header     | Yes     | 16       | 98294.0      | 2.00     | 7173         | 7695.82    | 19.13     
1TB       | 3200   | Uniform    | Yes     | 16       | 57142.03     | 1.00     | 1897797      | 13131.90   | 5652.39   
1TB       | 3200   | Header     | Yes     | 1        | 6409.36      | 2.00     | 708          | 462.81     | 1.20      
1TB       | 3200   | Uniform    | Yes     | 1        | 7502.69      | 1.00     | 64235        | 369.45     | 353.27    
1TB       | 3200   | Header     | Yes     | 2        | 12594.72     | 2.00     | 1285         | 939.35     | 2.39      
1TB       | 3200   | Uniform    | Yes     | 2        | 13992.48     | 1.00     | 256262       | 805.91     | 706.63    
1TB       | 3200   | Header     | Yes     | 4        | 25124.95     | 2.00     | 2149         | 1884.88    | 4.78      
1TB       | 3200   | Uniform    | Yes     | 4        | 25609.15     | 1.00     | 513729       | 1673.34    | 1413.19   
1TB       | 3200   | Header     | Yes     | 8        | 49756.45     | 2.00     | 2775         | 3799.84    | 9.57      
1TB       | 3200   | Uniform    | Yes     | 8        | 42933.03     | 1.00     | 1129484      | 4022.52    | 2826.25   
1TB       | 3200   | Header     | No      | 16       | 139062.16    | 2.00     | 3529         | 5394.42    | 19.13     
1TB       | 3200   | Uniform    | No      | 16       | 29210.05     | 1.00     | 11890        | 26164.86   | 5652.43   
1TB       | 3200   | Header     | No      | 1        | 6866.08      | 2.00     | 529          | 441.45     | 1.20      
1TB       | 3200   | Uniform    | No      | 1        | 6880.64      | 1.00     | 1909         | 433.32     | 353.32    
1TB       | 3200   | Header     | No      | 2        | 13617.56     | 2.00     | 641          | 866.15     | 2.39      
1TB       | 3200   | Uniform    | No      | 2        | 12744.76     | 1.00     | 3130         | 930.41     | 706.65    
1TB       | 3200   | Header     | No      | 4        | 27928.92     | 2.00     | 786          | 1681.97    | 4.78      
1TB       | 3200   | Uniform    | No      | 4        | 22622.2      | 1.00     | 5412         | 2094.08    | 1413.12   
1TB       | 3200   | Header     | No      | 8        | 61683.28     | 2.00     | 1391         | 3050.21    | 9.57      
1TB       | 3200   | Uniform    | No      | 8        | 30703.36     | 1.00     | 7848         | 6202.18    | 2826.11   
1TB       | 400    | Header     | Yes     | 16       | 98194.52     | 2.00     | 6798         | 7696.89    | 19.13     
1TB       | 400    | Uniform    | Yes     | 16       | 155961.03    | 1.00     | 174114       | 4819.60    | 760.33    
1TB       | 400    | Header     | Yes     | 1        | 6410.04      | 2.00     | 814          | 462.79     | 1.20      
1TB       | 400    | Uniform    | Yes     | 1        | 11809.34     | 1.00     | 12251        | 249.37     | 47.52     
1TB       | 400    | Header     | Yes     | 2        | 12617.49     | 2.00     | 1286         | 938.80     | 2.39      
1TB       | 400    | Uniform    | Yes     | 2        | 22911.46     | 1.00     | 15269        | 512.20     | 95.04     
1TB       | 400    | Header     | Yes     | 4        | 25027.15     | 2.00     | 1778         | 1888.21    | 4.78      
1TB       | 400    | Uniform    | Yes     | 4        | 44625.52     | 1.00     | 38870        | 1051.10    | 190.08    
1TB       | 400    | Header     | Yes     | 8        | 49762.18     | 2.00     | 3127         | 3802.21    | 9.57      
1TB       | 400    | Uniform    | Yes     | 8        | 85446.06     | 1.00     | 66212        | 2196.02    | 380.17    
1TB       | 400    | Header     | No      | 16       | 155817.27    | 2.00     | 3352         | 4823.81    | 19.13     
1TB       | 400    | Uniform    | No      | 16       | 140318.74    | 1.00     | 11226        | 5414.26    | 760.33    
1TB       | 400    | Header     | No      | 1        | 10580.33     | 2.00     | 402          | 280.33     | 1.20      
1TB       | 400    | Uniform    | No      | 1        | 11523.44     | 1.00     | 2385         | 257.01     | 47.52     
1TB       | 400    | Header     | No      | 2        | 20882.33     | 2.00     | 618          | 562.08     | 2.39      
1TB       | 400    | Uniform    | No      | 2        | 22674.11     | 1.00     | 2342         | 520.76     | 95.04     
1TB       | 400    | Header     | No      | 4        | 41252.73     | 2.00     | 873          | 1147.63    | 4.78      
1TB       | 400    | Uniform    | No      | 4        | 43713.51     | 1.00     | 3791         | 1076.65    | 190.08    
1TB       | 400    | Header     | No      | 8        | 80794.05     | 2.00     | 1709         | 2331.55    | 9.57      
1TB       | 400    | Uniform    | No      | 8        | 80351.94     | 1.00     | 6237         | 2336.50    | 380.17    
1TB       | 800    | Header     | Yes     | 16       | 98333.18     | 2.00     | 6563         | 7692.81    | 19.13     
1TB       | 800    | Uniform    | Yes     | 16       | 131480.72    | 1.00     | 242367       | 5730.35    | 1505.27   
1TB       | 800    | Header     | Yes     | 1        | 6398.06      | 2.00     | 1335         | 463.34     | 1.20      
1TB       | 800    | Uniform    | Yes     | 1        | 11122.77     | 1.00     | 12669        | 264.98     | 94.08     
1TB       | 800    | Header     | Yes     | 2        | 12618.17     | 2.00     | 1193         | 939.06     | 2.39      
1TB       | 800    | Uniform    | Yes     | 2        | 21478.7      | 1.00     | 23455        | 546.66     | 188.16    
1TB       | 800    | Header     | Yes     | 4        | 25120.21     | 2.00     | 1705         | 1884.71    | 4.78      
1TB       | 800    | Uniform    | Yes     | 4        | 41317.14     | 1.00     | 47967        | 1136.72    | 376.31    
1TB       | 800    | Header     | Yes     | 8        | 49744.26     | 2.00     | 2913         | 3798.01    | 9.57      
1TB       | 800    | Uniform    | Yes     | 8        | 76669.85     | 1.00     | 138344       | 2454.62    | 752.63    
1TB       | 800    | Header     | No      | 16       | 139978.46    | 2.00     | 3428         | 5190.24    | 19.13     
1TB       | 800    | Uniform    | No      | 16       | 90309.29     | 1.00     | 13420        | 8416.60    | 1505.26   
1TB       | 800    | Header     | No      | 1        | 7576.99      | 2.00     | 392          | 385.24     | 1.20      
1TB       | 800    | Uniform    | No      | 1        | 10372.42     | 1.00     | 2233         | 286.62     | 94.08     
1TB       | 800    | Header     | No      | 2        | 17402.98     | 2.00     | 523          | 693.49     | 2.39      
1TB       | 800    | Uniform    | No      | 2        | 20079.54     | 1.00     | 3038         | 588.30     | 188.16    
1TB       | 800    | Header     | No      | 4        | 37168.31     | 2.00     | 790          | 1271.50    | 4.78      
1TB       | 800    | Uniform    | No      | 4        | 37894.84     | 1.00     | 4811         | 1244.42    | 376.33    
1TB       | 800    | Header     | No      | 8        | 73133.9      | 2.00     | 1299         | 2559.09    | 9.57      
1TB       | 800    | Uniform    | No      | 8        | 68424.64     | 1.00     | 9012         | 2760.49    | 752.64    
