Benchmark Summary Report
======================
Generated on: 2025-03-28 15:53:38

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
1TB       | 200    | Header     | No      | 8        | 92086.52     | 2.00     | 3771         | 2034.14    | 93.94     
1TB       | 200    | Uniform    | No      | 8        | 68650.95     | 1.43     | 12332        | 2751.42    | 275.00    
1TB       | 3200   | Header     | Yes     | 16       | 95301.8      | 2.00     | 108488       | 7932.90    | 187.89    
1TB       | 3200   | Uniform    | Yes     | 16       | 53233.21     | 1.00     | 1910861      | 14580.64   | 6094.84   
1TB       | 3200   | Header     | Yes     | 1        | 6320.79      | 2.00     | 4500         | 468.85     | 11.74     
1TB       | 3200   | Uniform    | Yes     | 1        | 6970.02      | 1.00     | 66714        | 409.67     | 380.92    
1TB       | 3200   | Header     | Yes     | 2        | 12429.32     | 2.00     | 8768         | 951.30     | 23.49     
1TB       | 3200   | Uniform    | Yes     | 2        | 13245.89     | 1.00     | 378723       | 842.90     | 761.84    
1TB       | 3200   | Header     | Yes     | 4        | 24668.07     | 2.00     | 20092        | 1913.93    | 46.97     
1TB       | 3200   | Uniform    | Yes     | 4        | 23740.27     | 1.00     | 735731       | 1822.43    | 1523.68   
1TB       | 3200   | Header     | Yes     | 8        | 48937.15     | 2.00     | 53195        | 3863.47    | 93.94     
1TB       | 3200   | Uniform    | Yes     | 8        | 31021.79     | 1.00     | 2676528      | 5026.28    | 3047.41   
1TB       | 3200   | Header     | No      | 16       | 171097.59    | 2.00     | 9310         | 4400.38    | 187.88    
1TB       | 3200   | Uniform    | No      | 16       | 27768.88     | 1.00     | 13444        | 27552.05   | 6094.86   
1TB       | 3200   | Header     | No      | 1        | 10615.32     | 2.00     | 411          | 305.95     | 11.74     
1TB       | 3200   | Uniform    | No      | 1        | 6651.75      | 1.00     | 2106         | 448.09     | 380.93    
1TB       | 3200   | Header     | No      | 2        | 22351.55     | 2.00     | 678          | 527.06     | 23.49     
1TB       | 3200   | Uniform    | No      | 2        | 12244.62     | 1.00     | 3587         | 967.71     | 761.87    
1TB       | 3200   | Header     | No      | 4        | 39738.63     | 2.00     | 1591         | 1143.53    | 46.97     
1TB       | 3200   | Uniform    | No      | 4        | 21667.08     | 1.00     | 5909         | 2186.70    | 1523.72   
1TB       | 3200   | Header     | No      | 8        | 84137.66     | 2.00     | 3374         | 2239.35    | 93.94     
1TB       | 3200   | Uniform    | No      | 8        | 29068.02     | 1.00     | 9714         | 6555.75    | 3047.41   
1TB       | 400    | Header     | Yes     | 16       | 95326.1      | 2.00     | 89424        | 7926.15    | 187.88    
1TB       | 400    | Uniform    | Yes     | 16       | 138759.0     | 1.12     | 684611       | 5418.69    | 862.73    
1TB       | 400    | Header     | Yes     | 1        | 6316.24      | 2.00     | 4517         | 469.17     | 11.74     
1TB       | 400    | Uniform    | Yes     | 1        | 10529.71     | 1.12     | 47707        | 279.88     | 53.91     
1TB       | 400    | Header     | Yes     | 2        | 12432.08     | 2.00     | 8953         | 951.82     | 23.49     
1TB       | 400    | Uniform    | Yes     | 2        | 20449.66     | 1.12     | 77004        | 573.73     | 107.85    
1TB       | 400    | Header     | Yes     | 4        | 24677.18     | 2.00     | 13841        | 1914.81    | 46.97     
1TB       | 400    | Uniform    | Yes     | 4        | 39876.16     | 1.12     | 166021       | 1175.97    | 215.66    
1TB       | 400    | Header     | Yes     | 8        | 48926.21     | 2.00     | 46275        | 3860.62    | 93.94     
