Benchmark Summary Report
======================
Generated on: 2025-03-28 16:42:41

File Size | Window | Index Type | DIO     | Threads  | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
1TB       | 200    | Uniform    | No      | 4        | 21332.82     | 2.55     | 6619         | 2206.70    | 245.22    
1TB       | 200    | Header     | No      | 8        | 61142.1      | 2.00     | 14440        | 3099.73    | 937.69    
1TB       | 200    | Uniform    | No      | 8        | 42107.11     | 2.55     | 13594        | 4470.83    | 490.57    
1TB       | 3200   | Header     | Yes     | 16       | 76606.41     | 2.00     | 2593108      | 9886.36    | 1875.39   
1TB       | 3200   | Uniform    | Yes     | 16       | 52804.67     | 1.00     | 4104448      | 15457.64   | 6142.32   
1TB       | 3200   | Header     | Yes     | 1        | 5882.39      | 2.00     | 145706       | 503.45     | 117.21    
1TB       | 3200   | Uniform    | Yes     | 1        | 6901.58      | 1.00     | 206606       | 412.36     | 383.89    
1TB       | 3200   | Header     | Yes     | 2        | 11461.12     | 2.00     | 298161       | 1031.34    | 234.42    
1TB       | 3200   | Uniform    | Yes     | 2        | 13076.71     | 1.00     | 867988       | 851.00     | 767.79    
1TB       | 3200   | Header     | Yes     | 4        | 22316.89     | 2.00     | 578138       | 2117.00    | 468.84    
1TB       | 3200   | Uniform    | Yes     | 4        | 23089.74     | 1.00     | 2031444      | 1855.62    | 1535.58   
1TB       | 3200   | Header     | Yes     | 8        | 42443.93     | 2.00     | 1228582      | 4456.00    | 937.70    
1TB       | 3200   | Uniform    | Yes     | 8        | 33621.41     | 1.00     | 4613441      | 4930.80    | 3071.15   
1TB       | 3200   | Header     | No      | 16       | 68380.12     | 2.00     | 24604        | 11107.25   | 1875.37   
1TB       | 3200   | Uniform    | No      | 16       | 30307.85     | 1.00     | 15807        | 25227.30   | 6142.34   
1TB       | 3200   | Header     | No      | 1        | 9268.23      | 2.00     | 930          | 323.92     | 117.21    
1TB       | 3200   | Uniform    | No      | 1        | 6497.11      | 1.00     | 1943         | 458.59     | 383.89    
1TB       | 3200   | Header     | No      | 2        | 17685.56     | 2.00     | 2009         | 667.69     | 234.42    
1TB       | 3200   | Uniform    | No      | 2        | 12074.37     | 1.00     | 3123         | 983.90     | 767.79    
1TB       | 3200   | Header     | No      | 4        | 34060.43     | 2.00     | 5716         | 1387.08    | 468.84    
1TB       | 3200   | Uniform    | No      | 4        | 21852.27     | 1.00     | 5227         | 2163.72    | 1535.58   
1TB       | 3200   | Header     | No      | 8        | 60728.6      | 2.00     | 13748        | 3106.97    | 937.70    
1TB       | 3200   | Uniform    | No      | 8        | 31800.52     | 1.00     | 9330         | 5977.50    | 3071.15   
1TB       | 400    | Header     | Yes     | 16       | 76469.54     | 2.00     | 2685142      | 9892.66    | 1875.38   
1TB       | 400    | Uniform    | Yes     | 16       | 89262.96     | 1.74     | 840511       | 8420.21    | 1339.65   
1TB       | 400    | Header     | Yes     | 1        | 5880.93      | 2.00     | 144596       | 503.81     | 117.21    
1TB       | 400    | Uniform    | Yes     | 1        | 6818.8       | 1.74     | 46605        | 433.52     | 83.73     
