Benchmark Summary Report
======================
Generated on: Tue Mar 25 10:26:18 CET 2025

File Size | Window | Index Type | DIO     | Tput (ops/s) | Avg Hops | Scan us      | IO s       | IO GB     
----------|--------|------------|---------|--------------|----------|--------------|------------|-----------
1TB       | 100    | Header     | Yes     | 6299.27      | 2.00     | 8514         | 470.48     | 11.74     
1TB       | 100    | Uniform    | Yes     | 6435.18      | 1.96     | 5592         | 459.55     | 23.60     
1TB       | 100    | Header     | No      | 9855.09      | 2.00     | 394          | 300.67     | 11.74     
1TB       | 100    | Uniform    | No      | 8644.26      | 1.96     | 549          | 342.13     | 23.60     
1TB       | 1600   | Header     | Yes     | 6316.60      | 2.00     | 3896         | 469.20     | 11.74     
1TB       | 1600   | Uniform    | Yes     | 10053.58     | 1.00     | 64510        | 293.53     | 191.23    
1TB       | 1600   | Header     | No      | 11968.67     | 2.00     | 559          | 246.97     | 11.74     
1TB       | 1600   | Uniform    | No      | 8946.48      | 1.00     | 2194         | 331.98     | 191.23    
1TB       | 200    | Header     | Yes     | 6322.10      | 2.00     | 1924         | 468.88     | 11.74     
1TB       | 200    | Uniform    | Yes     | 8556.45      | 1.43     | 11135        | 345.17     | 34.34     
1TB       | 200    | Header     | No      | 11967.23     | 2.00     | 365          | 247.08     | 11.74     
1TB       | 200    | Uniform    | No      | 10152.99     | 1.43     | 638          | 291.42     | 34.36     
1TB       | 3200   | Header     | Yes     | 6323.32      | 2.00     | 4968         | 468.64     | 11.74     
1TB       | 3200   | Uniform    | Yes     | 6983.46      | 1.00     | 82902        | 407.99     | 380.92    
1TB       | 3200   | Header     | No      | 11549.68     | 2.00     | 454          | 256.15     | 11.74     
1TB       | 3200   | Uniform    | No      | 7042.15      | 1.00     | 2272         | 422.45     | 380.93    
1TB       | 400    | Header     | Yes     | 6313.50      | 2.00     | 8393         | 469.25     | 11.74     
1TB       | 400    | Uniform    | Yes     | 10524.45     | 1.12     | 38127        | 279.97     | 53.89     
1TB       | 400    | Header     | No      | 12277.91     | 2.00     | 374          | 240.85     | 11.74     
1TB       | 400    | Uniform    | No      | 11067.31     | 1.12     | 1878         | 267.67     | 53.87     
1TB       | 800    | Header     | Yes     | 6320.72      | 2.00     | 6568         | 468.91     | 11.74     
1TB       | 800    | Uniform    | Yes     | 11083.33     | 1.00     | 59490        | 265.77     | 96.24     
1TB       | 800    | Header     | No      | 12220.53     | 2.00     | 483          | 242.01     | 11.74     
1TB       | 800    | Uniform    | No      | 10577.00     | 1.00     | 1682         | 280.31     | 96.25     
